Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Endless Bummer","Endless Bummer Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/114258685/endless-bummer,3.9,-1,Sport,5.13b,1,70,37.87756,-122.61868
"Surf Safari","Endless Bummer Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/114258736/surf-safari,3.7,-1,Sport,5.13d,1,60,37.87756,-122.61868
"Eddie's Trundling Service","The Juice Shop > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380054/eddies-trundling-service,2.5,-1,Sport,5.7,1,45,37.87739,-122.61828
"Kook Jams","The Juice Shop > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380125/kook-jams,2.7,-1,Trad,5.8,1,75,37.87739,-122.61828
"Fall Punch","The Juice Shop > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380025/fall-punch,2.1,-1,Sport,5.10a,1,35,37.87739,-122.61828
"Electric Blue","The Juice Shop > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121416203/electric-blue,2.1,-1,Sport,5.10b,1,30,37.87739,-122.61828
"The Juice Shop","The Juice Shop > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380097/the-juice-shop,2.7,-1,Sport,5.11c,1,50,37.87739,-122.61828
"The DSWB of Kimbuktu Tower","Kimbuktu Tower > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121623434/the-dswb-of-kimbuktu-tower,1.8,-1,Sport,5.10a,1,30,37.87734,-122.61819
Effervescent,"Kimbuktu Tower > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380146/effervescent,2.9,-1,Sport,5.10a/b,1,21,37.87734,-122.61819
"Left Arma","Kimbuktu Tower > Vent 5 > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380179/left-arma,1.8,-1,Sport,5.10d,1,25,37.87734,-122.61819
